ID,Title,URL,Authors,Venue,Venue Acronym,Venue Type,Year
6,Green Data Center Analysis and Design for Energy Efficiency Using Clustered and Virtualization Method,https://ieeexplore.ieee.org/abstract/document/8874886/ ,"JH Moedjahedy, M Taroreh",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
7,Energy efficient scheduling for cloud data centers using heuristic based migration,https://link.springer.com/article/10.1007/s10586-018-2235-7 ,"GG Kumar, P Vivekanandan",Springer,Springer,J,2019
10,Load Management with Predictions of Solar Energy Production for Cloud Data Centers,https://ieeexplore.ieee.org/abstract/document/9053186/ ,"M Floridia, D Laganà, C Mastroianni, M Meo, D Renga",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2020
11,Flexibility-Based Energy and Demand Management in Data Centers: A Case Study for Cloud Computing,https://www.mdpi.com/1996-1073/12/17/3301 ,R Basmadjian,Multidisciplinary Digital Publishing Institute,MDPI,J,2019
13,Predictions and Modeling Energy Consumption for IT Data Center,https://link.springer.com/chapter/10.1007/978-3-030-12065-8_1 ,"M Soltane, P Roose, D Makhlouf, K Okba",Springer,Springer,C,2018
16,An energy-efficient power management for heterogeneous servers in data centers,https://link.springer.com/content/pdf/10.1007/s00607-020-00805-w.pdf,"Q Wang, H Cai, Q Cao, F Wang",Springer,Springer,J,2020
17,MFF: Performance Interference-Aware VM Placement Algorithm for Reducing Energy Consumption in Data Centers,https://centerprode.com/ojit/ojit0301/coas.ojit.0301.01001m.html,"D Mosoti, VO Omwenga, P Ogao",Open Journal for Information Technology,OJIT,J,2020
21,Network-aware energy saving multi-objective optimization in virtualized data centers,https://link.springer.com/article/10.1007/s10586-018-2869-5 ,"M Al-Tarazi, JM Chang",Springer,Springer,J,2019
32,Energy efficient resource selection and allocation strategy for virtual machine consolidation in cloud datacenters,https://search.ieice.org/bin/summary.php?id=e101-d_7_1816 ,"Y Chang, C Gu, F Luo, G Fan, W Fu","The Institute of Electronics, Information and Communication Engineers",IEICE,J,2018
33,Energy-efficient task scheduling for data centers with unstable renewable energy: A robust optimization approach,https://ieeexplore.ieee.org/abstract/document/8726577/ ,"Y Lu, R Wang, P Wang, Y Cao, J Hao, K Zhu",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2018
34,Variable neighborhood search-based symbiotic organisms search algorithm for energy-efficient scheduling of virtual machine in cloud data center,https://link.springer.com/chapter/10.1007/978-3-319-69889-2_5 ,"M Abdullahi, SI Dishing, MJ Usman",Springer,Springer,J,2019
38,Optimized Renewable Energy Use in Green Cloud Data Centers,https://link.springer.com/chapter/10.1007/978-3-030-33702-5_24 ,"M Xu, AN Toosi, B Bahrani, R Razzaghi, M Singh",Springer,Springer,C,2019
40,An Energy-aware Routing Mechanism based on MBOA for Data Center Network,https://ieeexplore.ieee.org/abstract/document/8836768/ ,"Z Jianzhe, S Qingyu, L Guangwei",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
44,An Energy-Efficient VM migrations optimization in Cloud Data Centers,https://ieeexplore.ieee.org/abstract/document/9133776/ ,"C Thiam, F Thiam",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
49,Jointly optimizing the IT and cooling systems for data center energy efficiency based on multi-agent deep reinforcement learning,https://dl.acm.org/doi/abs/10.1145/3396851.3402658,"C Chi, K Ji, A Marahatta, P Song, F Zhang…",Association for Computing Machinery,ACM,C,2020
51,A robust modeling framework for energy analysis of data centers,https://dl.acm.org/doi/abs/10.1145/3401335.3401648,N Lei,Association for Computing Machinery,ACM,C,2020
53,Exploiting Traffic Correlation Towards Energy Saving in Data Centers,https://ieeexplore.ieee.org/abstract/document/8580952/,"Z Chkirbene, A Gouissem, R Hadjidj, R Hamila, S Foufou",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2018
54,Energy and quality of service-aware virtual machine consolidation in a cloud data center,https://link.springer.com/content/pdf/10.1007/s11227-020-03203-3.pdf,"A Tarafdar, M Debnath, S Khatua, RK Das",Springer,Springer,J,2020
56,A proactive autoscaling and energy-efficient VM allocation framework using online multi-resource neural network for cloud data center,https://www.sciencedirect.com/science/article/pii/S0925231220315873,"D Saxena, AK Singh",Elsevier,Elsevier,J,2020
57,A deep neural network based approach to energy efficiency analysis for cloud data center,https://ieeexplore.ieee.org/abstract/document/8972019/,"HA Ounifi, A Gherbi, N Kara, W Li",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
58,Availability-Aware Multi-Objective Virtual Cluster Allocation Optimization in Energy-Efficient Datacenters,https://ieeexplore.ieee.org/abstract/document/8855456/,"X Liu, B Cheng, Y Li, J Chen",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
59,Energy-Efficient Flow Routing and Scheduling in Hybrid Data Center Networks,https://ieeexplore.ieee.org/abstract/document/9014023/,"M Luo, J Li, J Ma, H Li, M Sheng",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
68,Multi-criteria-Based Energy-Efficient Framework for VM Placement in Cloud Data Centers,https://link.springer.com/article/10.1007/s13369-019-04048-6,"N Khattar, J Singh, J Sidhu",Springer,Springer,J,2019
73,Temperature-aware workload management for sustainable datacenters powered by renewable energy,https://dl.acm.org/doi/abs/10.1145/3318265.3318287,"Y Li, X Wang, P Luo, X Yang",Association for Computing Machinery,ACM,C,2019
74,Real-time energy-conserving VM-provisioning framework for cloud-data centers,https://ieeexplore.ieee.org/abstract/document/8666614/,"S Ismaeel, A Miri",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
77,Energy consumption optimization scheme of cloud data center based on SDN,https://www.sciencedirect.com/science/article/pii/S1877050918307075,"Q Liao, Z Wang",Elsevier,Elsevier,J,2018
78,Energy-Aware Virtual Data Center Migration,https://www.jstage.jst.go.jp/article/jaciii/23/2/23_209/_article/-char/ja/,"X Ma, Z Zhang, S Su",Journal of Advanced Computational Intelligence and Intelligent Informatics,JACIII,J,2019
79,Profile-guided three-phase virtual resource management for energy efficiency of data centers,https://ieeexplore.ieee.org/abstract/document/8663624/,"Z Ding, YC Tian, M Tang, Y Li, Y Wang, C Zhou",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2019
81,Batch Arrival Multiserver Queue with State-Dependent Setup for Energy-Saving Data Center,https://link.springer.com/chapter/10.1007/978-981-15-5951-8_25,T Phung-Duc,Springer,Springer,J,2020
82,Energy efficient virtual machine placement with an improved ant colony optimization over data center networks,https://ieeexplore.ieee.org/abstract/document/8693725/,"W Wei, H Gu, W Lu, T Zhou, X Liu",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2019
84,Reducing the operational cost of cloud data centers through renewable energy,https://www.mdpi.com/1999-4893/11/10/145,"D Laganà, C Mastroianni, M Meo, D Renga",Multidisciplinary Digital Publishing Institute,MDPI,J,2018
85,New approach for reducing energy consumption and load balancing in data centers of cloud computing,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs181016,"M Tarahomi, M Izadi",Journal of Intelligent & Fuzzy Systems,JIFS,J,2019
87,Towards Energy Efficient Servers' Utilization in Datacenters,https://link.springer.com/chapter/10.1007/978-3-030-22871-2_19,"A Osman, A Sagahyroon, R Aburukba, F Aloul",Springer,Springer,C,2019
90,A Dynamic Energy-saving Deployment Algorithm for Virtual Data Centers,https://ieeexplore.ieee.org/abstract/document/9091377/,"S Han, J Li, Y Ma, Q Dong, D Wu",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2019
91,Energy consumption and emission mitigation prediction based on data center traffic and PUE for global data centers,https://www.sciencedirect.com/science/article/pii/S2096511720300761,"Y Liu, X Wei, J Xiao, Z Liu, Y Xu, Y Tian",Elsevier,Elsevier,J,2020
94,Energy efficient VM scheduling and routing in multi-tenant cloud data center,https://www.sciencedirect.com/science/article/pii/S2210537918303160,"S Ch, T Ramesh",Elsevier,Elsevier,J,2019
97,Smartly handling renewable energy instability in supporting a cloud datacenter,https://ieeexplore.ieee.org/abstract/document/9139872/,"J Gao, H Wang, H Shen",Institute of Electrical and Electronics Engineers,IEEE Xplore,C,2020
99,An experience-based scheme for energy-SLA balance in cloud data centers,https://ieeexplore.ieee.org/abstract/document/8641327/,"X Zhou, K Li, C Liu, K Li",Institute of Electrical and Electronics Engineers,IEEE Xplore,J,2019
100,Optimizing energy consumption for a performance-aware cloud data center in the public sector,https://www.sciencedirect.com/science/article/pii/S2210537917304043,"K Chang, S Park, H Kong, W Kim",Elsevier,Elsevier,J,2018
101,Integrated network and hosts energy management for cloud data centers,https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.3641,"O Al‐Jarrah, Z Al‐Zoubi, Y Jararweh",Wiley Online Library,Wiley,J,2019
105,EEUI: a new measure to monitor and manage energy efficiency in data centers,https://www.emerald.com/insight/content/doi/10.1108/IJPPM-08-2016-0160/full/html ,"F Abaunza, AP Hameri, T Niemi",International Journal of Productivity and Performance Management,IJPPM,J,2018
119,CPicker: Leveraging Performance-Equivalent Configurations to Improve Data Center Energy Efficiency,https://link.springer.com/article/10.1007/s11390-018-1811-x ,"FQ Sun, GH Yan, X He, HW Li, YH Han",Springer,Springer,J,2018
